127.0.0.1 - - [16/Mar/2022:09:41:53 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "GET /mini/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "GET /mini/ HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "GET /mini/images/deals1.jpg HTTP/1.1" 200 477651
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "GET /mini/images/deals2.jpg HTTP/1.1" 200 470550
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:54 +0900] "GET /mini/images/deals3.jpg HTTP/1.1" 200 472214
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:55 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:41:55 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:42:07 +0900] "GET /mini/login_view HTTP/1.1" 200 7419
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:43:03 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:43:03 +0900] "GET /mini/join_view HTTP/1.1" 200 10783
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:43:07 +0900] "GET /mini/logout_view HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:09:43:07 +0900] "-" 400 -
