127.0.0.1 - - [21/Jan/2022:09:47:27 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:47:28 +0900] "GET /ch08/ch08_ex03.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:47:30 +0900] "GET /ch08/media/puppy.png HTTP/1.1" 200 15385
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:47:45 +0900] "GET /ch08/ch08_ex03.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:47:46 +0900] "GET /ch08/media/puppy.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:48:39 +0900] "GET /ch08/ch08_ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:48:41 +0900] "GET /ch08/media/puppy.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:48:44 +0900] "GET /ch08/ch08_ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:05:00 +0900] "GET /ch08/ch08_ex04.html HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:22:25 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:33:14 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:33:16 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:33:19 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:33:41 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:34:19 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:34:37 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:34:37 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:35:30 +0900] "GET /ch08/ch08_ex05.html HTTP/1.1" 200 844
