127.0.0.1 - - [05/Apr/2022:09:31:18 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "GET /ezenpj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "GET /ezenpj/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "GET /ezenpj/ HTTP/1.1" 200 9683
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "GET /ezenpj/images/deals3.jpg HTTP/1.1" 200 472214
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "GET /ezenpj/images/deals1.jpg HTTP/1.1" 200 477651
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "GET /ezenpj/images/deals2.jpg HTTP/1.1" 200 470550
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:39 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:31:40 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:33:19 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:33:19 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:33:20 +0900] "GET /ezenpj/login_view HTTP/1.1" 200 10382
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:33:20 +0900] "GET /ezenpj/images/btn_google_signin.png HTTP/1.1" 200 8001
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:33:20 +0900] "GET /ezenpj/images/naverid_login_button_short.png HTTP/1.1" 200 7392
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:33:20 +0900] "GET /ezenpj/images/kakao_login_large_narrow.png HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:35:16 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:35:16 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:09:35:16 +0900] "GET /ezenpj/home HTTP/1.1" 200 9683
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:06 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:06 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:06 +0900] "GET /ezenpj/home HTTP/1.1" 200 9683
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:07 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:08 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:08 +0900] "GET /ezenpj/util HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:08 +0900] "GET /ezenpj/login_view HTTP/1.1" 200 10382
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:08 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:08 +0900] "GET /ezenpj/images/btn_google_signin.png HTTP/1.1" 200 8001
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:08 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:08 +0900] "GET /ezenpj/images/naverid_login_button_short.png HTTP/1.1" 200 7392
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:08 +0900] "GET /ezenpj/images/kakao_login_large_narrow.png HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:15 +0900] "POST /ezenpj/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:15 +0900] "GET /ezenpj/product HTTP/1.1" 200 10586
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:15 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:15 +0900] "GET /ezenpj/images/1647915361820burger.jpg HTTP/1.1" 200 284665
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:15 +0900] "GET /ezenpj/images/1647915621580sushi.jpg HTTP/1.1" 200 362373
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:15 +0900] "GET /ezenpj/images/1647915131399kkochi.jpg HTTP/1.1" 200 310316
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:17 +0900] "GET /ezenpj/util HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:19 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:22 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:44 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:45 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:45 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:46 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:48 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:35:49 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:09 +0900] "GET /ezenpj/util HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:09 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:09 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:09 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:09 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:10 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:11 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:11 +0900] "GET /ezenpj/util HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:11 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:11 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:11 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:11 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:12 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:13 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:13 +0900] "GET /ezenpj/sse HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/util HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/util HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/util HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/util HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/util HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [05/Apr/2022:10:36:14 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
