127.0.0.1 - - [20/Jan/2022:10:08:52 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:08:52 +0900] "GET /ch07/ch07_ex02.html HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:09:50 +0900] "GET /ch07/ch07_ex02.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:09:50 +0900] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:10:03 +0900] "GET /ch07/ch07_ex02.html HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:38:41 +0900] "GET /ch07/ch07_ex03.html HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:55:41 +0900] "GET /ch07/ch07_ex04.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:56:12 +0900] "GET /ch07/ch07_ex04.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:57:51 +0900] "GET /ch07/ch07_ex04.html HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [20/Jan/2022:10:58:15 +0900] "GET /ch07/ch07_ex04.html HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [20/Jan/2022:11:01:01 +0900] "GET /ch07/ch07_ex04.html HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [20/Jan/2022:11:02:45 +0900] "GET /ch07/ch07_ex04.html HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [20/Jan/2022:11:08:09 +0900] "GET /ch07/ch07_ex04.html HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [20/Jan/2022:11:09:20 +0900] "GET /ch07/ch07_ex04.html HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [20/Jan/2022:11:35:04 +0900] "GET /ch07/ch07_ex05.html HTTP/1.1" 200 457
