127.0.0.1 - - [10/Feb/2022:17:35:15 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:35:16 +0900] "GET /jsp_servlet_06/01_useBeanDemo.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:35:27 +0900] "GET /jsp_servlet_06/01_useBeanDemo.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:35:27 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:43:10 +0900] "GET /jsp_servlet_06/02_propertyDemo.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:48:06 +0900] "GET /jsp_servlet_06/03_addMemberForm.jsp HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:19 +0900] "GET /jsp_servlet_06/03_addMemberForm.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:19 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:19 +0900] "GET /jsp_servlet_06/03_addMemberForm.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:19 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /jsp_servlet_06/03_addMemberForm.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /jsp_servlet_06/03_addMemberForm.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /jsp_servlet_06/03_addMemberForm.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /jsp_servlet_06/03_addMemberForm.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /jsp_servlet_06/03_addMemberForm.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:20 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Feb/2022:17:53:26 +0900] "POST /jsp_servlet_06/03_addMember.jsp HTTP/1.1" 200 589
