127.0.0.1 - - [11/Jan/2022:09:58:43 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:02:22 +0900] "GET /ch04/ch04_ex13.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:02:55 +0900] "GET /ch04/ch04_ex13.html HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:04:54 +0900] "GET /ch04/ch04_ex13.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:09:16 +0900] "GET /ch04/ch04_ex13.html HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:34:15 +0900] "GET /ch04/ch04_ex14.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:34:15 +0900] "GET /ch04/media/mio.png HTTP/1.1" 200 18309
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:36:09 +0900] "GET /ch04/ch04_ex14.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:36:09 +0900] "GET /ch04/media/mio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:52:23 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:52:58 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:06 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:07 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:07 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:07 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:08 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:16 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:44 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:56 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:57 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:57 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:57 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:53:58 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:54:11 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:54:25 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:55:06 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:55:26 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:55:41 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:56:34 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:56:49 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:57:03 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:57:29 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:58:04 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:10:58:18 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [11/Jan/2022:11:00:06 +0900] "GET /ch04/ch04_ex16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:11:18:22 +0900] "GET /ch04/ch04_ex17.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [11/Jan/2022:11:18:23 +0900] "GET /ch04/media/border.png HTTP/1.1" 404 836
