127.0.0.1 - - [27/Jan/2022:09:41:18 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/products.jsp HTTP/1.1" 200 26473
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/js/fetch/fetch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/css/products.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/logo-basic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/search_btn2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/BQ6472-015.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/AV3725-010.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/AH7389-101.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/CW5379-600.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/DC0774-003.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/CV9388-100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/CD8179-100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/WR993GL.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/WR993BK.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/CQ4277-001.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/CD4487-100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/DH0690-200.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/DM7866-140.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:19 +0900] "GET /edt_project/resources/img/p_img/AH7767-101.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:20 +0900] "GET /edt_project/resources/img/p_img/AA2261-100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:20 +0900] "GET /edt_project/resources/img/p_img/CV1363-001.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:20 +0900] "GET /edt_project/resources/img/p_img/DH2684-001.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:20 +0900] "GET /edt_project/resources/img/p_img/CV1363-100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:09:41:20 +0900] "GET /edt_project/resources/img/p_img/DH2482-100.png HTTP/1.1" 304 -
