127.0.0.1 - - [10/Jan/2022:09:50:30 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:50:33 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:02 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:02 +0900] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:03 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:04 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:04 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:04 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:08 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:35 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:54:45 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:58:24 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:02:04 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:02:05 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:02:06 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:02:18 +0900] "GET /ch03/ch03_ex15.html HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:11:09 +0900] "GET /ch03/ch03_ex16.html HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:41:17 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:41:48 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:42:01 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:46:23 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:46:30 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:49:37 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:49:52 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:49:53 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:49:53 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:50:08 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:50:09 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:10:50:47 +0900] "GET /ch03/ch03_ex17.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:10:40 +0900] "GET /ch03/ch03_ex18.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:10:50 +0900] "GET /ch03/ch03_ex18.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:41:49 +0900] "GET /ch03/ch03_ex19.html HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:25:54 +0900] "GET /ch04/ch04_ex01.html HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:26:16 +0900] "GET /ch04/ch04_ex01.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:26:23 +0900] "GET /ch04/ch04_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:29:02 +0900] "GET /ch04/ch04_ex01.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:56:24 +0900] "GET /ch04/ch04_ex02.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:56:48 +0900] "GET /ch04/ch04_ex02.html HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:57:16 +0900] "GET /ch04/ch04_ex02.html HTTP/1.1" 304 -
